City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,catacaos,-5.2667,-80.6833,27.66,55,79,5.63,PE,1712883967
292,huron,41.1501,-82.5499,16.7,96,100,2.97,US,1712883748
293,skowhegan,44.7651,-69.7192,8.1,98,100,1.61,US,1712883968
294,ribadesella,43.4614,-5.0596,12.19,86,100,2.41,ES,1712883968
295,nova sintra,14.8667,-24.7167,22.4,78,9,6.42,CV,1712883898
296,kostroma,57.7708,40.9344,7.9,70,100,3.58,RU,1712883969
297,ribeira grande,38.5167,-28.7,15.99,94,1,0.89,PT,1712883816
298,margaret river,-33.95,115.0667,17.42,63,6,5.69,AU,1712883970
299,kristiansund,63.1115,7.732,9.03,71,67,2.06,NO,1712883970
300,sisimiut,66.9395,-53.6735,-5.75,88,93,2.29,GL,1712883970
301,howard springs,-12.497,131.047,28.82,69,100,3.1,AU,1712883970
302,hadibu,12.65,54.0333,26.99,78,15,2.34,YE,1712883735
303,bodaybo,57.8506,114.1933,-0.53,87,98,1.55,RU,1712883971
304,catriel,-37.8791,-67.7956,10.92,69,100,6.29,AR,1712883971
305,yokadouma,3.5167,15.05,20.8,98,100,1.02,CM,1712883972
306,merizo village,13.2658,144.6691,31.31,83,100,6.16,GU,1712883972
307,fernie,49.5,-115.0687,15.05,80,100,1.16,CA,1712883802
308,ulladulla,-35.35,150.4667,19.87,60,1,2.68,AU,1712883973
309,sao tome,0.3365,6.7273,27.3,79,100,1.15,ST,1712883973
310,thunder bay,48.4001,-89.3168,8.99,93,100,1.54,CA,1712883974
311,nuku'alofa,-21.1333,-175.2,28.19,83,20,3.6,TO,1712883956
312,kalisz,51.7611,18.091,10.0,70,27,3.19,PL,1712883965
313,quellon,-43.1167,-73.6167,8.7,74,0,2.14,CL,1712883686
314,tauranga,-37.6861,176.1667,20.92,94,100,2.68,NZ,1712883946
315,inarajan village,13.2736,144.7484,31.54,83,100,6.32,GU,1712883887
316,najera,42.4244,-2.734,9.62,82,15,1.17,ES,1712883975
317,susuman,62.7833,148.1667,-8.34,81,77,1.79,RU,1712883976
318,xining,36.6167,101.7667,9.62,29,100,1.41,CN,1712883847
319,usinsk,65.9939,57.5281,1.71,99,100,10.28,RU,1712883976
320,kodinsk,58.6881,99.1844,-5.31,91,100,0.91,RU,1712883976
321,olyokminsk,60.3736,120.4264,-6.85,69,100,3.15,RU,1712883977
322,mar del plata,-38.0023,-57.5575,13.38,70,75,2.57,AR,1712883823
323,kiama,-34.6833,150.8667,22.43,64,0,1.92,AU,1712883977
324,waingapu,-9.6567,120.2641,27.95,70,51,4.98,ID,1712883897
325,ponta delgada,37.7333,-25.6667,18.44,94,20,0.51,PT,1712883978
326,starodub,52.5844,32.7633,8.36,69,100,3.05,RU,1712883978
327,gainesville,29.6516,-82.3248,21.64,69,75,7.2,US,1712883789
328,vilyuysk,63.7553,121.6247,-18.89,96,13,2.68,RU,1712883827
329,buka,40.8108,69.1986,16.32,67,100,3.96,UZ,1712883979
330,bayanhongor,46.7167,100.1167,0.53,53,61,2.43,MN,1712883979
331,kargopol',61.5071,38.9456,2.18,96,100,4.86,RU,1712883980
332,dunedin,-45.8742,170.5036,9.33,92,100,0.89,NZ,1712883815
333,stornoway,58.2093,-6.3865,10.98,88,75,6.17,GB,1712883980
334,ketchikan,55.3422,-131.6461,7.41,76,75,0.0,US,1712883980
335,callao,-12.0667,-77.15,25.95,78,0,4.63,PE,1712883901
336,colonia,50.9333,6.95,14.9,82,100,0.51,DE,1712883981
337,gwadar,25.1216,62.3254,25.4,87,49,2.2,PK,1712883982
338,katabu,-4.9333,122.5167,27.56,86,15,1.24,ID,1712883982
339,sarina,-21.4333,149.2167,27.01,71,100,4.42,AU,1712883982
340,chonchi,-42.6128,-73.8092,8.4,75,0,0.54,CL,1712883982
341,greenville,35.6127,-77.3663,21.02,93,100,8.23,US,1712883723
342,fort mcmurray,56.7268,-111.381,13.77,26,75,6.69,CA,1712883983
343,laguna,38.421,-121.4238,28.28,46,0,3.6,US,1712883790
344,lev tolstoy,53.2134,39.446,11.72,67,59,3.09,RU,1712883984
